"filename", "language", "C++", "Python", "Shell Script", "Markdown", "comment", "blank", "total"
"d:\OI\Code\ACWing\1010.cpp", "C++", 44, 0, 0, 0, 0, 11, 55
"d:\OI\Code\ACWing\1012.cpp", "C++", 48, 0, 0, 0, 0, 11, 59
"d:\OI\Code\ACWing\1014.cpp", "C++", 52, 0, 0, 0, 0, 11, 63
"d:\OI\Code\ACWing\1015.cpp", "C++", 45, 0, 0, 0, 0, 9, 54
"d:\OI\Code\ACWing\1016.cpp", "C++", 40, 0, 0, 0, 0, 5, 45
"d:\OI\Code\ACWing\1017.cpp", "C++", 59, 0, 0, 0, 0, 11, 70
"d:\OI\Code\ACWing\1018.cpp", "C++", 42, 0, 0, 0, 0, 9, 51
"d:\OI\Code\ACWing\1027.cpp", "C++", 51, 0, 0, 0, 0, 7, 58
"d:\OI\Code\ACWing\104.cpp", "C++", 34, 0, 0, 0, 0, 10, 44
"d:\OI\Code\ACWing\143.cpp", "C++", 74, 0, 0, 0, 0, 9, 83
"d:\OI\Code\ACWing\154.cpp", "C++", 59, 0, 0, 0, 0, 11, 70
"d:\OI\Code\ACWing\187.cpp", "C++", 58, 0, 0, 0, 0, 16, 74
"d:\OI\Code\ACWing\2.cpp", "C++", 35, 0, 0, 0, 0, 7, 42
"d:\OI\Code\ACWing\204.cpp", "C++", 97, 0, 0, 0, 0, 18, 115
"d:\OI\Code\ACWing\272.cpp", "C++", 43, 0, 0, 0, 0, 9, 52
"d:\OI\Code\ACWing\275.cpp", "C++", 52, 0, 0, 0, 0, 11, 63
"d:\OI\Code\ACWing\2816.cpp", "C++", 49, 0, 0, 0, 0, 6, 55
"d:\OI\Code\ACWing\3.cpp", "C++", 34, 0, 0, 0, 0, 7, 41
"d:\OI\Code\ACWing\3302.cpp", "C++", 82, 0, 0, 0, 0, 12, 94
"d:\OI\Code\ACWing\4.cpp", "C++", 51, 0, 0, 0, 0, 10, 61
"d:\OI\Code\ACWing\482.cpp", "C++", 52, 0, 0, 0, 0, 10, 62
"d:\OI\Code\ACWing\5.cpp", "C++", 17, 0, 0, 0, 0, 3, 20
"d:\OI\Code\ACWing\786.cpp", "C++", 34, 0, 0, 0, 0, 7, 41
"d:\OI\Code\ACWing\787.cpp", "C++", 54, 0, 0, 0, 5, 9, 68
"d:\OI\Code\ACWing\789.cpp", "C++", 72, 0, 0, 0, 0, 9, 81
"d:\OI\Code\ACWing\790.cpp", "C++", 37, 0, 0, 0, 0, 5, 42
"d:\OI\Code\ACWing\791.cpp", "C++", 48, 0, 0, 0, 0, 8, 56
"d:\OI\Code\ACWing\792.cpp", "C++", 100, 0, 0, 0, 0, 12, 112
"d:\OI\Code\ACWing\793.cpp", "C++", 50, 0, 0, 0, 0, 9, 59
"d:\OI\Code\ACWing\794.cpp", "C++", 54, 0, 0, 0, 0, 9, 63
"d:\OI\Code\ACWing\795.cpp", "C++", 41, 0, 0, 0, 0, 6, 47
"d:\OI\Code\ACWing\796.cpp", "C++", 56, 0, 0, 0, 0, 9, 65
"d:\OI\Code\ACWing\797.cpp", "C++", 56, 0, 0, 0, 0, 9, 65
"d:\OI\Code\ACWing\798.cpp", "C++", 83, 0, 0, 0, 0, 12, 95
"d:\OI\Code\ACWing\799.cpp", "C++", 48, 0, 0, 0, 0, 8, 56
"d:\OI\Code\ACWing\800.cpp", "C++", 48, 0, 0, 0, 0, 8, 56
"d:\OI\Code\ACWing\801.cpp", "C++", 45, 0, 0, 0, 0, 5, 50
"d:\OI\Code\ACWing\802.cpp", "C++", 75, 0, 0, 0, 0, 13, 88
"d:\OI\Code\ACWing\803.cpp", "C++", 59, 0, 0, 0, 0, 11, 70
"d:\OI\Code\ACWing\826.cpp", "C++", 79, 0, 0, 0, 0, 11, 90
"d:\OI\Code\ACWing\830.cpp", "C++", 42, 0, 0, 0, 0, 8, 50
"d:\OI\Code\ACWing\831.cpp", "C++", 51, 0, 0, 0, 0, 9, 60
"d:\OI\Code\ACWing\835.cpp", "C++", 71, 0, 0, 0, 0, 6, 77
"d:\OI\Code\ACWing\836.cpp", "C++", 64, 0, 0, 0, 0, 11, 75
"d:\OI\Code\ACWing\837.cpp", "C++", 85, 0, 0, 0, 0, 15, 100
"d:\OI\Code\ACWing\838_a.cpp", "C++", 57, 0, 0, 0, 0, 11, 68
"d:\OI\Code\ACWing\839.cpp", "C++", 102, 0, 0, 0, 4, 11, 117
"d:\OI\Code\ACWing\840.cpp", "C++", 68, 0, 0, 0, 0, 6, 74
"d:\OI\Code\ACWing\840_a.cpp", "C++", 44, 0, 0, 0, 4, 5, 53
"d:\OI\Code\ACWing\840_b.cpp", "C++", 41, 0, 0, 0, 0, 7, 48
"d:\OI\Code\ACWing\841.cpp", "C++", 66, 0, 0, 0, 0, 11, 77
"d:\OI\Code\ACWing\842.cpp", "C++", 41, 0, 0, 0, 0, 7, 48
"d:\OI\Code\ACWing\843.cpp", "C++", 69, 0, 0, 0, 0, 10, 79
"d:\OI\Code\ACWing\844.cpp", "C++", 74, 0, 0, 0, 0, 15, 89
"d:\OI\Code\ACWing\845.cpp", "C++", 70, 0, 0, 0, 0, 14, 84
"d:\OI\Code\ACWing\846.cpp", "C++", 71, 0, 0, 0, 0, 13, 84
"d:\OI\Code\ACWing\847.cpp", "C++", 66, 0, 0, 0, 0, 10, 76
"d:\OI\Code\ACWing\848.cpp", "C++", 86, 0, 0, 0, 0, 13, 99
"d:\OI\Code\ACWing\849.cpp", "C++", 87, 0, 0, 0, 0, 15, 102
"d:\OI\Code\ACWing\850.cpp", "C++", 91, 0, 0, 0, 0, 15, 106
"d:\OI\Code\ACWing\851.cpp", "C++", 96, 0, 0, 0, 0, 16, 112
"d:\OI\Code\ACWing\852.cpp", "C++", 114, 0, 0, 0, 0, 17, 131
"d:\OI\Code\ACWing\853.cpp", "C++", 78, 0, 0, 0, 0, 12, 90
"d:\OI\Code\ACWing\866.cpp", "C++", 52, 0, 0, 0, 0, 7, 59
"d:\OI\Code\ACWing\867.cpp", "C++", 61, 0, 0, 0, 0, 9, 70
"d:\OI\Code\ACWing\868.cpp", "C++", 52, 0, 0, 0, 0, 7, 59
"d:\OI\Code\ACWing\869.cpp", "C++", 52, 0, 0, 0, 0, 7, 59
"d:\OI\Code\ACWing\870.cpp", "C++", 54, 0, 0, 0, 0, 9, 63
"d:\OI\Code\ACWing\871.cpp", "C++", 59, 0, 0, 0, 0, 9, 68
"d:\OI\Code\ACWing\872.cpp", "C++", 38, 0, 0, 0, 0, 6, 44
"d:\OI\Code\ACWing\873.cpp", "C++", 47, 0, 0, 0, 0, 5, 52
"d:\OI\Code\ACWing\874.cpp", "C++", 62, 0, 0, 0, 0, 9, 71
"d:\OI\Code\ACWing\875.cpp", "C++", 53, 0, 0, 0, 0, 6, 59
"d:\OI\Code\ACWing\876.cpp", "C++", 59, 0, 0, 0, 0, 4, 63
"d:\OI\Code\ACWing\877.cpp", "C++", 47, 0, 0, 0, 0, 5, 52
"d:\OI\Code\ACWing\878.cpp", "C++", 49, 0, 0, 0, 0, 6, 55
"d:\OI\Code\ACWing\883.cpp", "C++", 113, 0, 0, 0, 0, 16, 129
"d:\OI\Code\ACWing\891.cpp", "C++", 35, 0, 0, 0, 0, 6, 41
"d:\OI\Code\ACWing\895.cpp", "C++", 45, 0, 0, 0, 0, 7, 52
"d:\OI\Code\ACWing\896.cpp", "C++", 45, 0, 0, 0, 0, 7, 52
"d:\OI\Code\ACWing\897.cpp", "C++", 42, 0, 0, 0, 0, 9, 51
"d:\OI\Code\ACWing\898.cpp", "C++", 46, 0, 0, 0, 0, 9, 55
"d:\OI\Code\ACWing\899.cpp", "C++", 66, 0, 0, 0, 0, 14, 80
"d:\OI\Code\ACWing\902.cpp", "C++", 47, 0, 0, 0, 0, 11, 58
"d:\OI\Code\ACWing\907.cpp", "C++", 62, 0, 0, 0, 0, 13, 75
"d:\OI\Code\BOJ\20779.cpp", "C++", 66, 0, 0, 0, 3, 29, 98
"d:\OI\Code\BOJ\8354.cpp", "C++", 96, 0, 0, 0, 3, 29, 128
"d:\OI\Code\CSG\1217.cpp", "C++", 201, 0, 0, 0, 1, 49, 251
"d:\OI\Code\CSG\1223.cpp", "C++", 97, 0, 0, 0, 3, 30, 130
"d:\OI\Code\CodeChef\FINDINGSUM.cpp", "C++", 62, 0, 0, 0, 3, 18, 83
"d:\OI\Code\CodeforcesGym\Gym-105231D.cpp", "C++", 89, 0, 0, 0, 3, 27, 119
"d:\OI\Code\CodeforcesVP\1918A.cpp", "C++", 27, 0, 0, 0, 0, 10, 37
"d:\OI\Code\CodeforcesVP\1918B.cpp", "C++", 40, 0, 0, 0, 1, 17, 58
"d:\OI\Code\CodeforcesVP\1925A.cpp", "C++", 30, 0, 0, 0, 1, 11, 42
"d:\OI\Code\CodeforcesVP\1925B.cpp", "C++", 31, 0, 0, 0, 0, 12, 43
"d:\OI\Code\CodeforcesVP\1928A.cpp", "C++", 30, 0, 0, 0, 0, 8, 38
"d:\OI\Code\CodeforcesVP\1928B.cpp", "C++", 38, 0, 0, 0, 1, 17, 56
"d:\OI\Code\CodeforcesVP\1929A.cpp", "C++", 35, 0, 0, 0, 0, 13, 48
"d:\OI\Code\CodeforcesVP\1929B.cpp", "C++", 30, 0, 0, 0, 0, 11, 41
"d:\OI\Code\CodeforcesVP\1929C.cpp", "C++", 31, 0, 0, 0, 0, 12, 43
"d:\OI\Code\CompRedo\2023SCzrD2T1.cpp", "C++", 37, 0, 0, 0, 0, 12, 49
"d:\OI\Code\CompRedo\栈序列.cpp", "C++", 179, 0, 0, 0, 12, 36, 227
"d:\OI\Code\CompRedo\栈序列_tree.cpp", "C++", 126, 0, 0, 0, 3, 27, 156
"d:\OI\Code\CompRedo\栈序列_模拟.cpp", "C++", 72, 0, 0, 0, 0, 13, 85
"d:\OI\Code\Comp\22-11-13 洛谷NOIP全程模拟\A.cpp", "C++", 29, 0, 0, 0, 0, 7, 36
"d:\OI\Code\Comp\22-11-13 洛谷NOIP全程模拟\A_1.cpp", "C++", 37, 0, 0, 0, 0, 4, 41
"d:\OI\Code\Comp\22-11-13 洛谷NOIP全程模拟\A_2.cpp", "C++", 61, 0, 0, 0, 5, 14, 80
"d:\OI\Code\Comp\22-11-13 洛谷NOIP全程模拟\A_3.cpp", "C++", 29, 0, 0, 0, 0, 7, 36
"d:\OI\Code\Comp\22-11-13 洛谷NOIP全程模拟\B.cpp", "C++", 129, 0, 0, 0, 10, 18, 157
"d:\OI\Code\Comp\22-11-13 洛谷NOIP全程模拟\B_1.cpp", "C++", 49, 0, 0, 0, 0, 9, 58
"d:\OI\Code\Comp\22-11-18 sg模拟\A.cpp", "C++", 52, 0, 0, 0, 1, 13, 66
"d:\OI\Code\Comp\22-11-18 sg模拟\A2.cpp", "C++", 217, 0, 0, 0, 0, 4, 221
"d:\OI\Code\Comp\22-11-18 sg模拟\A_py.py", "Python", 0, 4, 0, 0, 0, 1, 5
"d:\OI\Code\Comp\22-11-18 sg模拟\A_table.cpp", "C++", 21, 0, 0, 0, 1, 6, 28
"d:\OI\Code\Comp\22-11-18 sg模拟\C.cpp", "C++", 86, 0, 0, 0, 1, 14, 101
"d:\OI\Code\Comp\22-11-19 LGR2\A.cpp", "C++", 14, 0, 0, 0, 0, 5, 19
"d:\OI\Code\Comp\22-11-19 LGR2\B.cpp", "C++", 52, 0, 0, 0, 0, 12, 64
"d:\OI\Code\Comp\22-11-19 LGR2\C.cpp", "C++", 73, 0, 0, 0, 0, 10, 83
"d:\OI\Code\Comp\22-11-19 LGR2\C_1.cpp", "C++", 13, 0, 0, 0, 0, 4, 17
"d:\OI\Code\Comp\22-11-19 LGR2\C_2.cpp", "C++", 35, 0, 0, 0, 0, 7, 42
"d:\OI\Code\Comp\22-11-19 LGR2\C_debug.cpp", "C++", 73, 0, 0, 0, 0, 11, 84
"d:\OI\Code\Comp\22-11-19 LGR2\test.cpp", "C++", 15, 0, 0, 0, 0, 4, 19
"d:\OI\Code\Comp\22-11-19 LGR2\赛后\A.cpp", "C++", 83, 0, 0, 0, 2, 14, 99
"d:\OI\Code\Comp\22-11-19 LGR\A.cpp", "C++", 45, 0, 0, 0, 0, 7, 52
"d:\OI\Code\Comp\22-11-19 LGR\B.cpp", "C++", 16, 0, 0, 0, 0, 5, 21
"d:\OI\Code\Comp\22-11-19 LGR\C.cpp", "C++", 77, 0, 0, 0, 0, 12, 89
"d:\OI\Code\Comp\22-11-19 LGR\D.cpp", "C++", 117, 0, 0, 0, 1, 18, 136
"d:\OI\Code\Comp\22-11-19 LGR\D_sub2.cpp", "C++", 127, 0, 0, 0, 0, 17, 144
"d:\OI\Code\Comp\22-11-19 LGR\test.cpp", "C++", 10, 0, 0, 0, 0, 5, 15
"d:\OI\Code\Comp\22-11-20 luogu模拟\A.cpp", "C++", 29, 0, 0, 0, 0, 8, 37
"d:\OI\Code\Comp\22-11-20 sg模拟-J\D.cpp", "C++", 41, 0, 0, 0, 0, 12, 53
"d:\OI\Code\Comp\22-11-20 sg模拟-S\A.cpp", "C++", 48, 0, 0, 0, 0, 15, 63
"d:\OI\Code\Comp\22-11-20 sg模拟-S\C.cpp", "C++", 17, 0, 0, 0, 0, 4, 21
"d:\OI\Code\Comp\22-11-20 sg模拟-S\D.cpp", "C++", 91, 0, 0, 0, 4, 17, 112
"d:\OI\Code\Comp\22-11-20 sg模拟-S\D_1.cpp", "C++", 103, 0, 0, 0, 22, 16, 141
"d:\OI\Code\Comp\22-11-20 sg模拟-S\D_debug.cpp", "C++", 76, 0, 0, 0, 11, 15, 102
"d:\OI\Code\Comp\22-11-20 sg模拟-S\test.cpp", "C++", 15, 0, 0, 0, 0, 4, 19
"d:\OI\Code\Comp\22-11-21 coding c++\A.cpp", "C++", 17, 0, 0, 0, 0, 4, 21
"d:\OI\Code\Comp\22-11-21 coding c++\Acw1.cpp", "C++", 15, 0, 0, 0, 0, 6, 21
"d:\OI\Code\Comp\22-11-21 coding c++\B.cpp", "C++", 15, 0, 0, 0, 0, 4, 19
"d:\OI\Code\Comp\22-11-21 coding c++\G.cpp", "C++", 24, 0, 0, 0, 0, 9, 33
"d:\OI\Code\Comp\22-11-21 coding c++\M.cpp", "C++", 16, 0, 0, 0, 0, 6, 22
"d:\OI\Code\Comp\22-11-21 coding c++\T.cpp", "C++", 19, 0, 0, 0, 0, 4, 23
"d:\OI\Code\Comp\22-11-21 coding c++\V.cpp", "C++", 15, 0, 0, 0, 0, 4, 19
"d:\OI\Code\Comp\22-11-21 coding c++\W.cpp", "C++", 19, 0, 0, 0, 0, 4, 23
"d:\OI\Code\Comp\22-11-21 sg模拟-J\A.cpp", "C++", 69, 0, 0, 0, 0, 12, 81
"d:\OI\Code\Comp\22-11-21 sg模拟-J\B.cpp", "C++", 37, 0, 0, 0, 0, 9, 46
"d:\OI\Code\Comp\22-11-21 sg模拟-J\C.cpp", "C++", 36, 0, 0, 0, 0, 7, 43
"d:\OI\Code\Comp\22-11-21 sg模拟-J\D.cpp", "C++", 16, 0, 0, 0, 0, 5, 21
"d:\OI\Code\Comp\22-11-21 sg模拟-S\B.cpp", "C++", 14, 0, 0, 0, 0, 7, 21
"d:\OI\Code\Comp\22-11-21 sg模拟-S\C.cpp", "C++", 16, 0, 0, 0, 0, 6, 22
"d:\OI\Code\Comp\22-11-22 coding c++\A.cpp", "C++", 17, 0, 0, 0, 0, 6, 23
"d:\OI\Code\Comp\22-11-22 coding c++\B.cpp", "C++", 20, 0, 0, 0, 0, 6, 26
"d:\OI\Code\Comp\22-11-22 coding c++\C.cpp", "C++", 59, 0, 0, 0, 4, 9, 72
"d:\OI\Code\Comp\22-11-22 coding c++\D.cpp", "C++", 21, 0, 0, 0, 0, 7, 28
"d:\OI\Code\Comp\22-11-22 coding c++\aaaaa.cpp", "C++", 14, 0, 0, 0, 0, 5, 19
"d:\OI\Code\Comp\22-11-22 sg模拟-J\A.cpp", "C++", 43, 0, 0, 0, 0, 9, 52
"d:\OI\Code\Comp\22-11-22 sg模拟-J\B.cpp", "C++", 31, 0, 0, 0, 6, 9, 46
"d:\OI\Code\Comp\22-11-22 sg模拟-J\C.cpp", "C++", 60, 0, 0, 0, 6, 5, 71
"d:\OI\Code\Comp\22-11-22 sg模拟-J\C2.cpp", "C++", 0, 0, 0, 0, 0, 2, 2
"d:\OI\Code\Comp\22-11-22 sg模拟-S\A.cpp", "C++", 14, 0, 0, 0, 0, 5, 19
"d:\OI\Code\Comp\22-11-22 sg模拟-S\B.cpp", "C++", 47, 0, 0, 0, 0, 13, 60
"d:\OI\Code\Comp\22-11-22 sg模拟-S\C.cpp", "C++", 80, 0, 0, 0, 0, 14, 94
"d:\OI\Code\Comp\22-11-22 sg模拟-S\C1.cpp", "C++", 107, 0, 0, 0, 4, 17, 128
"d:\OI\Code\Comp\22-11-23 coding c++\A.cpp", "C++", 67, 0, 0, 0, 0, 12, 79
"d:\OI\Code\Comp\22-11-23 coding c++\B.cpp", "C++", 53, 0, 0, 0, 0, 10, 63
"d:\OI\Code\Comp\22-11-23 coding c++\C.cpp", "C++", 15, 0, 0, 0, 0, 4, 19
"d:\OI\Code\Comp\22-11-23 coding c++\D.cpp", "C++", 99, 0, 0, 0, 5, 16, 120
"d:\OI\Code\Comp\22-11-23 coding c++\OLE.cpp", "C++", 18, 0, 0, 0, 0, 4, 22
"d:\OI\Code\Comp\22-11-23 sg模拟-J\A.cpp", "C++", 85, 0, 0, 0, 0, 12, 97
"d:\OI\Code\Comp\22-11-23 sg模拟-J\B.cpp", "C++", 14, 0, 0, 0, 0, 5, 19
"d:\OI\Code\Comp\22-11-23 sg模拟-J\D.cpp", "C++", 78, 0, 0, 0, 0, 13, 91
"d:\OI\Code\Comp\22-11-23 sg模拟-J\P11.cpp", "C++", 27, 0, 0, 0, 0, 5, 32
"d:\OI\Code\Comp\22-11-23 sg模拟-J\P13.cpp", "C++", 33, 0, 0, 0, 2, 7, 42
"d:\OI\Code\Comp\22-11-23 sg模拟-S\A.cpp", "C++", 84, 0, 0, 0, 0, 17, 101
"d:\OI\Code\Comp\22-11-23 sg模拟-S\A1.cpp", "C++", 14, 0, 0, 0, 0, 5, 19
"d:\OI\Code\Comp\22-11-23 sg模拟-S\test.cpp", "C++", 7, 0, 0, 0, 0, 1, 8
"d:\OI\Code\Comp\22-11-25 sg模拟-J\D.cpp", "C++", 74, 0, 0, 0, 17, 6, 97
"d:\OI\Code\Comp\22-11-25 sg模拟-J\abc.cpp", "C++", 14, 0, 0, 0, 0, 5, 19
"d:\OI\Code\Comp\22-11-26 noip2022\barrack.cpp", "C++", 103, 0, 0, 0, 2, 15, 120
"d:\OI\Code\Comp\22-11-26 noip2022\match.cpp", "C++", 82, 0, 0, 0, 6, 11, 99
"d:\OI\Code\Comp\22-11-26 noip2022\noip2022.md", "Markdown", 0, 0, 0, 18, 0, 18, 36
"d:\OI\Code\Comp\22-11-26 noip2022\plant.cpp", "C++", 261, 0, 0, 0, 79, 22, 362
"d:\OI\Code\Comp\22-11-26 noip2022\曹天朗SD-867\曹天朗SD-867\match\match - 副本.cpp", "C++", 82, 0, 0, 0, 6, 11, 99
"d:\OI\Code\Comp\22-11-26 noip2022\曹天朗SD-867\曹天朗SD-867\match\match.cpp", "C++", 86, 0, 0, 0, 2, 11, 99
"d:\OI\Code\Comp\22-11-26 noip2022\曹天朗SD-867\曹天朗SD-867\plant\plant.cpp", "C++", 252, 0, 0, 0, 82, 25, 359
"d:\OI\Code\Comp\23-01-14 蓝桥杯test\A.cpp", "C++", 17, 0, 0, 0, 0, 5, 22
"d:\OI\Code\Comp\23-01-14 蓝桥杯test\B.cpp", "C++", 24, 0, 0, 0, 0, 4, 28
"d:\OI\Code\Comp\23-01-15 蓝桥杯\1\1.cpp", "C++", 12, 0, 0, 0, 0, 3, 15
"d:\OI\Code\Comp\23-01-15 蓝桥杯\1\1_a.cpp", "C++", 14, 0, 0, 0, 0, 3, 17
"d:\OI\Code\Comp\23-01-15 蓝桥杯\1\1_duipai.cpp", "C++", 9, 0, 0, 0, 0, 3, 12
"d:\OI\Code\Comp\23-01-15 蓝桥杯\2\2.cpp", "C++", 44, 0, 0, 0, 0, 6, 50
"d:\OI\Code\Comp\23-01-15 蓝桥杯\3\3.cpp", "C++", 53, 0, 0, 0, 0, 10, 63
"d:\OI\Code\Comp\23-01-15 蓝桥杯\4\4.cpp", "C++", 95, 0, 0, 0, 0, 13, 108
"d:\OI\Code\Comp\23-01-15 蓝桥杯\5\5.cpp", "C++", 51, 0, 0, 0, 0, 8, 59
"d:\OI\Code\Comp\23-01-15 蓝桥杯\5\5_a.cpp", "C++", 70, 0, 0, 0, 0, 10, 80
"d:\OI\Code\Comp\23-02-02 sg测试\A.cpp", "C++", 41, 0, 0, 0, 0, 11, 52
"d:\OI\Code\Comp\23-02-02 sg测试\B.cpp", "C++", 32, 0, 0, 0, 0, 9, 41
"d:\OI\Code\Comp\23-02-02 sg测试\C.cpp", "C++", 50, 0, 0, 0, 0, 11, 61
"d:\OI\Code\Comp\23-02-02 sg测试\D.cpp", "C++", 45, 0, 0, 0, 0, 11, 56
"d:\OI\Code\Comp\23-02-04 sg测试\A.cpp", "C++", 24, 0, 0, 0, 0, 8, 32
"d:\OI\Code\Comp\23-02-04 sg测试\B.cpp", "C++", 82, 0, 0, 0, 0, 13, 95
"d:\OI\Code\Comp\23-02-04 sg测试\D.cpp", "C++", 68, 0, 0, 0, 0, 11, 79
"d:\OI\Code\Comp\23-04-29 ABC\A.cpp", "C++", 31, 0, 0, 0, 0, 9, 40
"d:\OI\Code\Comp\23-04-29 ABC\B.cpp", "C++", 90, 0, 0, 0, 2, 15, 107
"d:\OI\Code\Comp\23-04-29 CF869\A.cpp", "C++", 51, 0, 0, 0, 0, 14, 65
"d:\OI\Code\Comp\23-05-01 LG\A.cpp", "C++", 16, 0, 0, 0, 0, 6, 22
"d:\OI\Code\Comp\23-05-01 LG\E.cpp", "C++", 51, 0, 0, 0, 0, 12, 63
"d:\OI\Code\Comp\23-05-01 LG\E_Table\Table1.cpp", "C++", 55, 0, 0, 0, 0, 13, 68
"d:\OI\Code\Comp\23-05-01 LG\E_Table\Table10.cpp", "C++", 55, 0, 0, 0, 0, 13, 68
"d:\OI\Code\Comp\23-05-01 LG\E_Table\Table2.cpp", "C++", 54, 0, 0, 0, 0, 13, 67
